episode,action
55,"[3.0000000e+01,6.9179993e+00,1.2134514e+01,1.4999864e+01,1.0039708e-01,1.5000000e+02,2.3273382e+00,1.0097496e+01,5.1270461e+00,7.0578194e-01,9.0000000e+00]"
56,"[,30.008675,1.7218845,10.286797,15.,0.23741233,150.,3.4564729,83.4806,15.,0.6933948,4.000142,]"
57,"[,78.00673,5.8213964,27.523548,5.066597,0.95372933,149.87537,3.027667,118.3066,5.368186,0.501953,4.0081444,]"
58,"[149.80907,3.561795,113.32863,12.536231,0.80843437,149.97343,5.740361,139.52249,14.962515,0.33038446,4.371767,]"
59,"[3.42603645e+01,5.76571369e+00,1.45361176e+02,5.72201681e+00,1.02923125e-01,3.15488014e+01,6.10973644e+00,3.76757851e+01,1.27121000e+01,9.28187490e-01,7.62691069e+00]"
60,"[,59.82242,6.2119923,121.29796,5.42959,0.6829951,76.06569,2.8692298,144.78905,13.256609,0.8553586,8.9300375]"
61,"[143.03531,4.2487416,20.991318,12.132622,0.2061271,35.492393,6.7173066,32.891922,11.5682745,0.2904246,5.0865436]"
62,"[149.85901,6.908973,22.308945,8.872896,0.5235727,41.327534,4.092392,31.205482,12.139887,0.3871242,6.0608788]"
63,"[,87.77747,5.0385027,57.94574,14.59219,0.12089509,113.54736,6.537099,84.39167,12.706428,0.6806592,4.624399,]"
64,"[141.35333,2.2767575,120.0815,5.441423,0.9274554,66.94044,1.0464125,112.35448,14.162249,0.18915263,8.110498,]"
65,"[34.843937,2.8572,95.494095,10.501088,0.25376388,48.876083,3.3696318,66.519615,8.891766,0.46463042,7.5008106,]"
66,"[3.3370659e+01,6.2202077e+00,1.2292034e+02,6.9238405e+00,1.1384326e-01,3.7219898e+01,1.0206351e+00,4.4595871e+01,1.4491709e+01,3.5273618e-01,6.6688461e+00]"
67,"[,42.524708,1.4994581,109.487335,14.399093,0.5950672,35.09278,3.7229602,40.087154,9.84074,0.95415795,5.804255,]"
68,"[119.518425,1.4143653,100.09721,7.123232,0.630488,115.11623,5.8862724,129.36777,12.796272,0.23888135,4.0858846,]"
69,"[,45.93017,1.2580338,125.56429,14.560035,0.4912751,32.69853,5.766893,18.61647,6.3146095,0.5853744,7.8314233]"
70,"[,50.518612,3.2774086,81.88573,14.609915,0.96054596,140.33606,1.6647251,14.543396,6.3669577,0.1924218,6.759163,]"
71,"[138.0807,4.9297647,84.84017,5.199735,0.9864843,37.710777,4.526659,141.19931,12.828146,0.79627025,5.972851,]"
72,"[,76.20749,6.964698,87.1028,13.283923,0.40562093,45.276527,5.703368,140.02426,8.318866,0.7571356,4.594118,]"
73,"[144.98857,5.886737,18.884354,9.354083,0.61544836,139.51886,5.982704,59.19716,8.22737,0.32033327,7.5945797,]"
74,"[122.28841,1.0410662,146.55333,8.008611,0.50453585,41.63978,2.912138,79.63766,8.209175,0.34302652,6.239163,]"
75,"[1.3128940e+02,6.7263756e+00,1.0120642e+02,7.6912222e+00,4.4823802e-01,6.3427509e+01,4.7355595e+00,7.3095375e+01,6.8775587e+00,1.1818135e-01,6.0480113e+00]"
76,"[98.3452,4.2297497,32.77079,7.531251,0.6286851,81.17798,1.8484578,21.480812,14.844925,0.82299125,5.12293,]"
77,"[31.079014,4.616414,64.79437,12.054619,0.98518276,75.47508,3.0764434,25.180958,13.514547,0.6689861,4.003414,]"
78,"[,62.183685,5.299344,136.81447,14.818426,0.7972058,114.77339,3.9950974,100.31931,7.782683,0.52641636,8.603197,]"
79,"[133.84494,1.1708629,24.167381,13.389702,0.5275558,132.41318,3.5369484,67.01429,12.593563,0.58738065,8.01442,]"
80,"[35.739727,4.3616495,45.96525,7.144377,0.18153098,64.28558,2.5401917,94.721725,8.71744,0.13474098,8.175325,]"
81,"[,77.357895,6.1581087,62.123665,6.0141683,0.22210607,79.57382,6.6988163,146.84753,11.610964,0.3113348,8.813135,]"
82,"[9.6732239e+01,3.3525300e+00,1.1586266e+01,9.6949034e+00,1.0669762e-01,1.4702238e+02,1.0186319e+00,9.7203621e+01,6.0578318e+00,2.1778643e-01,5.1156015e+00]"
83,"[105.13226,6.8194213,116.58871,11.86895,0.98256046,96.97726,4.2128634,147.10428,10.446219,0.30833915,8.846634,]"
84,"[57.724148,1.3897686,41.898212,5.571756,0.36078396,40.645336,6.922165,11.898468,9.006891,0.9217263,8.642873,]"
85,"[60.75019,5.054493,92.001015,9.574398,0.8120598,33.82081,1.590699,61.16247,14.33812,0.23537877,7.6801844,]"
86,"[146.64131,2.0380445,34.493256,6.099403,0.7790774,144.54666,5.4600296,112.197975,7.2676177,0.85990334,4.179492,]"
87,"[,32.200382,5.2365246,138.6676,11.580007,0.7273093,87.77731,4.1668177,69.47775,5.795682,0.39189887,7.591342,]"
88,"[132.61905,6.685253,124.561165,8.422291,0.6516099,135.52776,3.1513667,143.85327,6.881838,0.581299,7.6521463]"
89,"[75.92598,4.509903,52.023354,13.994574,0.6235933,73.586395,1.0827823,47.27855,12.070822,0.3370099,4.6771817]"
90,"[37.39554,6.2691975,50.307873,11.210913,0.4380191,38.362423,5.1822267,23.976974,13.454813,0.81794107,7.43712,]"
91,"[,96.78278,4.643635,113.94954,8.18182,0.9840834,46.37372,2.1331558,145.95227,9.251067,0.89460635,7.397289,]"
92,"[,42.552036,3.8104436,18.418526,6.8756933,0.40125003,143.30957,5.152611,97.66649,10.01422,0.45571324,6.388133,]"
93,"[58.91005,6.4649267,15.021889,14.483735,0.99777627,30.82346,5.1049767,53.622326,14.585309,0.6496219,8.763364,]"
94,"[125.205765,5.990917,141.80336,14.263937,0.51982856,134.00015,1.109405,124.50629,5.565526,0.3065335,4.510149,]"
95,"[136.68445,2.822414,147.44057,13.140564,0.3364182,45.897076,3.921875,38.697037,6.7103524,0.8262738,5.827288,]"
96,"[109.70973,4.177924,59.54004,11.877779,0.79245543,41.21969,2.8621535,36.811363,7.821053,0.9339211,8.749081,]"
97,"[141.07135,6.189639,22.141773,14.584822,0.6580553,117.73741,6.070219,140.81433,7.0073404,0.88732326,5.5742874,]"
98,"[129.8713,3.4867637,103.72972,10.442447,0.42332596,60.34227,4.3090777,95.53511,13.018552,0.16893753,5.3272743,]"
99,"[,79.15271,1.4346969,108.687256,11.898077,0.22023284,129.95465,6.619648,138.25658,14.517172,0.5355893,7.888983,]"
100,"[,98.9636,2.0093846,133.39111,8.435693,0.44924632,125.52423,3.55546,25.696022,13.404354,0.5286159,7.2053423,]"
101,"[,79.94106,5.639585,114.69905,12.792927,0.5180923,74.69934,6.2574625,144.84052,11.959517,0.91771346,6.5494313,]"
102,"[,35.48576,1.9405255,113.0724,5.8081794,0.22813404,134.50377,6.860819,62.371128,14.892992,0.7538948,8.094094,]"
103,"[,32.064026,5.5706253,119.52659,10.677879,0.19031692,106.0862,6.8133,88.33917,5.4786267,0.4907431,5.197604,]"
104,"[78.62709,1.9433818,90.8568,12.051143,0.10904923,97.42616,5.913863,13.921265,8.897303,0.8907336,8.591583,]"
