episode,state
265,"[125.83346, 112.696738]"
266,"[63.7607594, 71.9406602]"
267,"[99.6161586, 61.1231674]"
268,"[75.4815396, 69.4456274]"
269,"[54.1900423, 51.7392124]"
270,"[57.2324009, 57.5841848]"
271,"[111.019493, 103.039473]"
272,"[84.319676, 51.5088929]"
273,"[66.9760377, 75.8204677]"
274,"[54.932713, 55.6993428]"
275,"[75.6847164, 82.9880942]"
276,"[64.3526499, 57.5795003]"
277,"[63.9021567, 75.2551522]"
278,"[82.4454864, 53.5994584]"
279,"[55.7322016, 57.6824894]"
280,"[86.3456545, 83.140287]"
281,"[54.0046712, 56.432916]"
282,"[61.3267978, 59.1275224]"
283,"[76.5767127, 67.0608954]"
284,"[53.5477717, 53.5422205]"
285,"[87.9445703, 95.4723851]"
286,"[52.5438208, 52.6950872]"
287,"[40.8440605, 42.0614002]"
288,"[111.859361, 110.558066]"
289,"[55.2935809, 55.7975051]"
290,"[62.9948439, 61.1230064]"
291,"[99.2400416, 89.9652576]"
292,"[129.434968, 123.69561]"
293,"[50.5162146, 79.3930711]"
294,"[80.7247164, 90.2787885]"
295,"[72.6842786, 76.076584]"
296,"[81.5993923, 61.5445285]"
297,"[63.5721744, 74.5023928]"
298,"[59.7414647, 56.0871723]"
299,"[76.0002195, 83.1103589]"
300,"[55.7540397, 60.1818029]"
301,"[58.3216851, 55.1087268]"
302,"[54.8728859, 60.3522778]"
303,"[65.6478164, 75.0043681]"
304,"[52.1285485, 56.1021422]"
305,"[71.5034795, 54.7502159]"
306,"[80.7866334, 82.9274063]"
307,"[84.9455398, 97.4170626]"
308,"[96.8263156, 98.2749944]"
309,"[63.4192009, 63.6446509]"
310,"[53.7367176, 62.3280587]"
311,"[85.8386599, 66.3603251]"
312,"[64.1794545, 67.1658655]"
313,"[55.8789923, 53.813959]"
314,"[45.417488, 40.2212436]"
315,"[91.3902608, 111.927124]"
316,"[93.3013331, 108.049964]"
317,"[66.3124274, 68.2945239]"
318,"[101.832856, 121.310482]"
319,"[78.3465233, 79.8160092]"
320,"[60.215255, 52.3847086]"
321,"[75.5101197, 64.8938003]"
322,"[103.782232, 89.8898114]"
